filename,filing_label,form,filing_date,document_lines,matched_unique_lines,cnt_revenue_profitability,cnt_segment_mix,cnt_cost_and_cash,cnt_strategy_execution,cnt_competition,cnt_risk_factors
10-K_2001-03-13.html,FY2000 Annual (10-K filed 2001-03-13),10-K,2001-03-13,1040,442,44,291,87,74,112,82
10-Q_2001-05-09.html,Quarterly (10-Q filed 2001-05-09),10-Q,2001-05-09,933,476,236,155,240,62,37,81
10-Q_2001-08-08.html,Quarterly (10-Q filed 2001-08-08),10-Q,2001-08-08,1801,867,379,258,407,66,53,126
10-Q_2001-11-07.html,Quarterly (10-Q filed 2001-11-07),10-Q,2001-11-07,2056,968,473,216,465,66,54,117
10-K_2002-03-13.html,FY2001 Annual (10-K filed 2002-03-13),10-K,2002-03-13,1100,511,86,330,105,90,130,93
10-Q_2002-05-07.html,Quarterly (10-Q filed 2002-05-07),10-Q,2002-05-07,1587,805,416,200,435,96,63,65
10-Q_2002-08-08.html,Quarterly (10-Q filed 2002-08-08),10-Q,2002-08-08,2379,1190,612,323,630,110,102,106
10-Q_2002-11-06.html,Quarterly (10-Q filed 2002-11-06),10-Q,2002-11-06,2952,1332,584,340,703,112,116,107
10-K_2003-03-11.html,FY2002 Annual (10-K filed 2003-03-11),10-K,2003-03-11,6539,2388,903,710,1137,238,235,307
10-Q_2003-05-07.html,Quarterly (10-Q filed 2003-05-07),10-Q,2003-05-07,3160,1290,548,395,561,125,109,100
10-Q_2003-08-06.html,Quarterly (10-Q filed 2003-08-06),10-Q,2003-08-06,3934,1613,730,480,724,144,124,108
10-Q_2003-11-05.html,Quarterly (10-Q filed 2003-11-05),10-Q,2003-11-05,2646,1263,675,403,553,119,106,104
10-K_2004-02-23.html,FY2003 Annual (10-K filed 2004-02-23),10-K,2004-02-23,7188,2583,990,894,1061,311,239,373
10-Q_2004-05-03.html,Quarterly (10-Q filed 2004-05-03),10-Q,2004-05-03,2099,1002,465,349,461,104,61,125
10-Q_2004-08-02.html,Quarterly (10-Q filed 2004-08-02),10-Q,2004-08-02,2754,1258,630,387,596,115,66,151
10-Q_2004-11-04.html,Quarterly (10-Q filed 2004-11-04),10-Q,2004-11-04,2652,1258,650,368,616,96,81,172
10-K_2005-02-22.html,FY2004 Annual (10-K filed 2005-02-22),10-K,2005-02-22,6743,2384,884,758,1055,314,186,387
10-Q_2005-05-11.html,Quarterly (10-Q filed 2005-05-11),10-Q,2005-05-11,2125,940,475,276,409,138,43,142
10-Q_2005-08-08.html,Quarterly (10-Q filed 2005-08-08),10-Q,2005-08-08,2692,1206,658,302,520,122,107,162
10-Q_2005-11-01.html,Quarterly (10-Q filed 2005-11-01),10-Q,2005-11-01,3411,1595,783,336,654,158,125,173
10-K_2006-02-27.html,FY2005 Annual (10-K filed 2006-02-27),10-K,2006-02-27,11533,3923,1399,1005,1349,410,427,596
10-Q_2006-05-08.html,Quarterly (10-Q filed 2006-05-08),10-Q,2006-05-08,3352,1772,858,340,755,157,171,221
10-Q_2006-08-02.html,Quarterly (10-Q filed 2006-08-02),10-Q,2006-08-02,4849,2470,1317,442,1027,180,265,241
10-Q_2006-11-03.html,Quarterly (10-Q filed 2006-11-03),10-Q,2006-11-03,5007,2729,1315,544,1221,192,219,249
10-K_2007-02-26.html,FY2006 Annual (10-K filed 2007-02-26),10-K,2007-02-26,12456,4054,1308,909,1578,344,406,574
10-Q_2007-05-03.html,Quarterly (10-Q filed 2007-05-03),10-Q,2007-05-03,3499,1786,738,389,815,194,286,216
10-Q_2007-08-06.html,Quarterly (10-Q filed 2007-08-06),10-Q,2007-08-06,4027,2135,979,390,1019,165,291,198
10-Q_2007-11-02.html,Quarterly (10-Q filed 2007-11-02),10-Q,2007-11-02,4162,2262,974,419,1072,172,347,275
10-K_2008-02-20.html,FY2007 Annual (10-K filed 2008-02-20),10-K,2008-02-20,12348,4056,1207,709,1677,295,605,580
10-Q_2008-05-02.html,Quarterly (10-Q filed 2008-05-02),10-Q,2008-05-02,3946,1891,680,299,922,164,297,278
10-Q_2008-08-01.html,Quarterly (10-Q filed 2008-08-01),10-Q,2008-08-01,4957,2336,908,440,1086,174,319,302
10-Q_2008-10-31.html,Quarterly (10-Q filed 2008-10-31),10-Q,2008-10-31,5296,2561,949,489,1241,185,384,393
10-K_2009-02-23.html,FY2008 Annual (10-K filed 2009-02-23),10-K,2009-02-23,14726,4939,1351,921,2291,267,733,756
10-Q_2009-04-30.html,Quarterly (10-Q filed 2009-04-30),10-Q,2009-04-30,5523,2576,740,418,1383,180,423,523
10-Q_2009-08-03.html,Quarterly (10-Q filed 2009-08-03),10-Q,2009-08-03,7662,3165,967,480,1679,199,395,565
10-Q_2009-11-02.html,Quarterly (10-Q filed 2009-11-02),10-Q,2009-11-02,7367,3160,952,549,1748,129,381,541
10-K_2010-02-22.html,FY2009 Annual (10-K filed 2010-02-22),10-K,2010-02-22,15634,4933,1300,893,2135,259,739,815
10-Q_2010-05-03.html,Quarterly (10-Q filed 2010-05-03),10-Q,2010-05-03,5480,2206,696,384,1012,137,372,454
10-Q_2010-07-30.html,Quarterly (10-Q filed 2010-07-30),10-Q,2010-07-30,6404,2680,917,489,1229,137,373,507
10-Q_2010-11-02.html,Quarterly (10-Q filed 2010-11-02),10-Q,2010-11-02,6491,2706,917,487,1219,151,402,503
10-K_2011-02-18.html,FY2010 Annual (10-K filed 2011-02-18),10-K,2011-02-18,14964,4965,1277,971,2112,240,727,879
10-Q_2011-05-09.html,Quarterly (10-Q filed 2011-05-09),10-Q,2011-05-09,5554,2496,832,558,1080,124,414,461
10-Q_2011-08-08.html,Quarterly (10-Q filed 2011-08-08),10-Q,2011-08-08,6687,2962,1137,678,1259,115,399,484
